reviewerName,stars,reviewLink,reviewMeta,body
LPJ,Verified,https://www.amazon.com/null,Reviewed in Australia on February 22 2024,"amazing
good
got my partner speaking when had noise cancelling couldnt hear but her lips move so extra bonus
perfect for gaming and music"
D,Verified,https://www.amazon.com/null,Reviewed in Australia on September 13 2023,"Device stopped working within a year on two separate occasions.
Customer support was unsatisfactory on both occasions.
I'll be sticking with my old XM3s and looking at other brands."
Dorian W.,Verified,https://www.amazon.com/null,Reviewed in Australia on June 26 2023,"Likes - sound quality is amazing, noise cancellation is unreal. Battery life is fantastic - charging about once a month or less.

Dislikes - really not comfortable for long journeys - caused significant ear pain on (admittedly too long!) journey from Melbourne to London. Perfect for medium journeys though, 7 hours or so was fine. Great on the plane for reducing background noise"
Ngonidzashe Francis Chingozho,Verified,https://www.amazon.com/null,Reviewed in Australia on March 3 2023,Love the comfortable fit and the noise cancelling feature..
Amazon Customer,Verified,https://www.amazon.com/null,Reviewed in Australia on July 31 2022,"Hateful product. Apparently they turn themselves off when they can't detect your head. Seems they suddenly decided after two weeks that I don't have one, so they turn themselves off every 30 seconds or so. I got so angry I tried to clamp them to my head and broke both flimsy arms on the horrid things and $500 bucks down the drain! Save yourself the pain and find a less ""clever"" pair of headphones. In these times where many of us use headphones for work, what idiot decided this was a good feature?"
Maria Gray,3.0,https://www.amazon.com//gp/customer-reviews/R1IXGARMZQR7T4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 27 2024,If you’re mainly interested in noise cancelling then I would go with the xm4s. The xm5s don’t have a feature to optimize noise cancelling based on environment so I winds up being ineffective in cancelling out noise 80% or the time. However I will say if you only care about sound quality then there is a noticeable upgrade in quality from previous gens. IMO I would say steer away from these if you are looking for good noise cancelling
Marty,5.0,https://www.amazon.com//gp/customer-reviews/R2CDSLN4B035D7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 26 2024,These headphones have an excellent sound which is well balanced. The medicine Highs are crisp the base is punchy but not overly distorted. The battery seems to last quite a long time. The only thing that I didn't like is a fact that if your battery dies and you have to put it on the charger the USB does not seem to work anymore. You have to hardwire them to your device.
V-Money,5.0,https://www.amazon.com//gp/customer-reviews/R1A74Y90LNYD7F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 24 2024,"I recently upgraded from my much loved and daily used Sony XM3… These new XM5s boast superb sound quality and sumptuous comfort. I wear headphones all night and I love the light weight and generous padding, not to mention the 30-hour battery life. I also appreciate how much more comfortable they are than the Bose Ultras or 45s, which I also tried. I also appreciate that I can disable any type of auto-off or sleep features on these Sony cans, unlike the Bose Ultras that have a sleep mode that I cannot disable.

The touch controls on the headphones also work well. The only downside is you cannot easily fold them up for travel."
Christian rivas,1.0,https://www.amazon.com//gp/customer-reviews/R2M9CZ9TRLJNCO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 19 2024,The product was so nice at first. Good and comfortable but I had a small issue with a small ringing noise on the headphones early on. I didn't think too much of it. But as time went on mid Feb. It started to get worse and just unusable because it would become into a random screeching sound that would hurt my ears
David Lindskog,2.0,https://www.amazon.com//gp/customer-reviews/RIB9VF7K3WEPC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 7 2024,"The noise cancel is great but what bugs me is the toggling between calls and such.
They don't connect when I move between one MS TEAMS call (MacBook) to another, between iPhone calls and MacBook audio etc. The toggling is a mess. It's not as smooth as my previous B&O headphones.
Sony - Please fix this with a software update!"
Amazon Customer,1.0,https://www.amazon.com//gp/customer-reviews/R3LGGA4YKGRPO6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 3 2024,"These headphones sound excellent and have a great feature set but just aren't reliable given the high price. I only had these headphones for less than two years and suddenly the right ear cup died completely, no sound or noise cancellation. I took great care of these headphones, only wearing them at home and expected them to last a lot longer than this. I've had tons of other headphones that have started falling apart long before the sound stopped working, so this is shocking and disappointing. With a warranty of only 1-year, I can't even get them replaceed. I contacted Sony but they don't want to do anything about it. Watch out for this product."
