reviewerName,stars,reviewTitle,reviewDate,body
adben_9899,5,"Such Versatile Sound, Everyone Will Love These",Nov 20 2022,"Wow my ears have never heard headphones sound this good for $250.  They have a very wide range/soundstage and tons of versatility for all types of music.  If you're looking for a lot of bass these have that option that can be added and adjusted through the app EQ and bass boost feature.  If you're looking for a more balanced sound signature this comes pretty neutral out of the box, perhaps a bit warm but at no cost to the mid and upper ranges.  I would say these are hard to beat at this price, especially if you can only have one pair - these are just so versatile for so many different types of music and so many easy-to-use controls in the app.  The physical construction is nice but I was not impressed, it's plastic and a little cheap-feeling in the hands but it looks fantastic on the head and it's very lightweight and sits very comfortably AROUND the ear lobe, not ON the earlobe, and this will fit a large variety of head sizes for sure.  You really cannot find this type of versatility, in certified refurbished condition, for this price.  "
bluedra8570,5,"Overall, worth the $259 USD. It's a 30% discount off in my eyes.",Jul 30 2022,"Looks like new, feels like new. There were no oil prints on these headphones, nor any other feature that could've gave that it was used away. What's included is the headphones, two wires (USB C to USB A; 3.5mm to 3.5mm), and the case. The packaging was nice and secure; the headphones had really no way of getting crushed with the air cushion surrounding the case.

There is no manual, but that's ok. The manual can be found online.

There were no issues with pairing as I just made sure to charge it before I tried anything. The sound is nice, and there are no issues with the speakers inside. I did not try the microphone, but I had a quick preliminary test and seems to pick up noise at the very least.

The noise cancelling is good. I live next to a main street, and I can, by miniscule increments, hear cars passing by with some music. There is also air conditioning in my apartment that is—quite literally—cut out with these headphones. Even with them off, surrounding sounds are still muffled.

The touch controls work fine. The only thing I dislike is that the sound increments are too slow to move. It's also right-dominant, and it doesn't seem to be able change controls around. 

The mechanical parts of the headphones are fine too. Smooth in and out of the earcups and the turning of them.

Overall, worth the $259 USD. It's a 30% discount off in my eyes."
bilavideo,5,"Great product at a great price, sent with super speed!",Jul 29 2022,"I bought this for my adult daughter, a single mom who is working full time and going to school to give her kids a better life.  She loved it.  It's great for focusing when she has coursework or tests to prepare for.  She loves how its lush array of microphones allow her a nice transparency when needed to take phone calls or deal with issues that need her full attention.  She loves the deep black of the active noise cancellation.  It's lightweight.  It doesn't fold as compactly as the WH1000XM4 but the tradeoff is not having to worry as much about durability as there are fewer joints in the assembly to snap.  I got it at a great price, with super speed and in great condition."
jamdclegg.11,5,"life-changing if you have ASD, get overstimulated; ill-fitting(ish) for small heads",Dec 09 2022,"disclaimer: I've never had NC headphones so I have nothing to compare these to. 

Because I went from apple's wire earbuds to these, I'll let other people talk about the new&nifty NC features and whatever. For me, these might as well be a gift from god[dess]. I can actually work in public spaces now that I have something to block out small, repetitive noises, people's chatter, and song lyrics (which always make me lose my focus). 

I'm on the autism spectrum, so I'm easily overstimulated by noises. These have been life-changing for my energy and focus. I've started wearing them around town and in my apartment and I find it so much easier to move my body and concentrate on tasks. 

Battery life is great. 

**only complaint: they're not super comfortable if you have a smaller head. I fit the band and put them on as instructed, but they still feel a bit saggy/heavy on my ears. EVEN THEN, they're pretty comfortable. I don't start to feel noticeable discomfort until I've worn them for 2 hours continuously which is, imo, impressive. "
kelwy_80,5,Great product!,Mar 03 2023,I decided to purchase these refurbished XM5's since there was a return window and Ebay has a warranty if something were to be wrong with them. I was happily surprised to see they looked brand new. They were shipped well - the packaging protected them well and came with everything I needed. The sound quality is great and I love them. They are super comfortable and so noise cancelling I don't even hear people come into my house or into a room. I also like that you can adjust it to have the ambient sound if I wanted it. It is great for my work from home setup or for just listening to music/podcasts. Highly highly recommend this seller!
jlion310,5,Sony wh 1000X5,Jul 25 2023,The headphones i bought the sony 1000x5 are very good quality sound is great its features are outstanding i use them at work for hearing protection the ambien sound makes my sound environment safer and noise cancelling also i recommend these headphones they are very advanced 
holnugget,5,Bang for your buck!,Dec 14 2022,"First off, this was $200 certified and it looks and sounds brand spanking new.  This was a really good bang for your buck.  Sony makes a product that is on par with Bose.  If you are a frequent traveler, you will love these and they are very light.  Highly recommended."
a839741056_8,5,"not worth if you have xm4, but if u new ,totally worth it",Nov 16 2022,"only problem is i have wh1000xm4, not really worth the upgrade,
but if you need a new headphone, or want to switch from bose/apple/beats or any other brand to say, i recommend go with the xm5, instead of xm4

consider this is only $50 more expensive than xm4, its totaly worth the upgrade,
just aint worth a $250 upgrade from xm4

and to be honest, i think xm4 looks better"
liqwid9,5,Better than I anticipated,Aug 27 2022,Headphones work amazing well in the noise cancelling department.  Great for a noisy work environment in the office.  I mainly use it to take calls and it excels at that function.  Sounds quality and internal microphone work better than expected.
kain35,5,Elite Headphones,Jan 11 2023,"I love these headphones.  Music is great, the app allows you to shape the sound profile.  Calls are very clear in respect to both hearing and microphone quality.  Noise cancelling is next level."
