User @,Comment Text,Time,Likes,Url
ida_k07,"The version b4 (Sony wh1000mx4) is cheaper and from what I’ve heard basically as good, the only difference is it sits looser on your head",31-10-2023,205,https://www.tiktok.com/@tussalty/video/7291715930495651118
j0n4h,The loose thing isn’t as bad honestly they fit very well,3-11-2023,16,https://www.tiktok.com/@tussalty/video/7291715930495651118
ida_k07,"If you mean the earlier version i guess it’s not bad, but i like to use them while cleaning and that get kinda hard bc they falling off",4-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
abbasjaved523,The xm4s aren’t water resistant whatsoever which is annoying. Only reason I’m considering these ones,8-11-2023,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
polatalinaa,Really?? Okay then I’m going for the xm5s too. Only thing that’s really bothering me is that you can’t fold them :(,15-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
abbasjaved523,Good thing is it comes with its own case so it’ll still be protected. Just a wee bit bigger when not used,15-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
d6viid.ny,@🤷🏿‍♂️,29-11-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
smalls_6.6,But are they better than the Apple headphones 🎧 🤔,20-10-2023,17,https://www.tiktok.com/@tussalty/video/7291715930495651118
cert1fiedjay,price wise extremely but I heardpeople say apple has better audio and similar noise canceling,26-10-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
smalls_6.6,Good to know thanks bro,26-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
tussalty,Beats or Sony headphones? 🤔,20-10-2023,38,https://www.tiktok.com/@tussalty/video/7291715930495651118
powerweilder,Easily beats 🙏🏻,20-10-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
flynnktm,sony,10-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
minfong103,sony,5-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
grwmizzyhehe,I love my beat solo 2s,27-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
gwn.max.je.weet.toch,beats,23-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
red6174wolf,Beats,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
grace.cannon40,Beats all day,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
thedailybuildup,Beats. easy w,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
preston_246,Sony,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
jay2fak3,Sony no cap,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
s._nickson,Hey Im from Kenya please send me 100dollars it help alot. Thanks,20-10-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
el_cmayyy,Psalm 23:4,9-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
abdu1lah_03,R they better than AirPod max,17-11-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
tj._.tj1,Yes,16-1-2024,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
lincolnkaarlo,Is there a mic? If so is it good?,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
caydenmccoy.06,"It’s alr for being headphones, little better then AirPods Max imo",20-10-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
heyitak01,I just bought xm4 is it worth the upgrade?,21-11-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
chuuyasleftnut203,"only for anc, if you want better anc get xm5",5-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
rafi_ishere,"Don't, at least not with XM5. Head hurts 😫 in XM5. In my opinion XM4 is the best all.",1-12-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
eel.deal,Noise canceling is a big part of headphones for me this is good,20-10-2023,17,https://www.tiktok.com/@tussalty/video/7291715930495651118
brenxxon,"I have them, the noise cancelling is actually the best I've heard better than anything I've heard... actually seems like you're in your own dimension",20-10-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
alien.alpaq,400$ is to much,20-10-2023,12,https://www.tiktok.com/@tussalty/video/7291715930495651118
ab0rti0neater,"its not worth it for normal ppl, better for audiophiles",23-10-2023,3,https://www.tiktok.com/@tussalty/video/7291715930495651118
karasu.anime,These or Airpods Max can’t decide,4-11-2023,8,https://www.tiktok.com/@tussalty/video/7291715930495651118
mutsjio,are airpod max's worth it?,23-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
_cgocrazy,400 crazy but they look fye fsh,20-10-2023,72,https://www.tiktok.com/@tussalty/video/7291715930495651118
lionmotivation0,Rlly not that bad bro,20-10-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
shefw_just1n,There 328 rn I just got them for discount,27-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
iateurcoockies_1,bro forgot about apple,13-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
_cgocrazy,"i got airpod pros, would say they worth the price more than these. just my opinion tho",15-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
iateurcoockies_1,i was talking about the airpod maxes,15-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
_cgocrazy,"these compared to the maxes, ia go with these lwkey",15-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
contigallentii,For 400$ they need to make me hear colors,20-10-2023,521,https://www.tiktok.com/@tussalty/video/7291715930495651118
g3nic_,😭,26-1-2024,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
supricmmm,😂😂,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
