reviewerName,stars,reviewTitle,reviewDate,body
BrayG,3,Great Headphones but get the the MX4,4/30/2023,"I bought these for in December and they broke after 4 months. The band has a weak spot above the ear muffs and breaks apart. I purchased the protection plus plan from Sony, which states that it covers accidents and manufacturers defects. These broke easily and it will be hard to proved it wasn't an accident. It appears to be a design flaw, so thank goodness I bought the Sony Protection Plus Plan"
Joy,1,Never received item,12/13/2023,"My interactions with this company have been ridiculous. I didn't realize that I wasn't purchasing from Walmart directly (my mistake - will not do that again). I got the delivery confirmation from Walmart, but nothing was delivered. Our ring doorbell also showed no activity anywhere near the supposed delivery time. I reached out to Walmart via chat and they contacted the seller. Seller emailed me and said that they confirmed delivery with the driver - not true. There are no pictures and nothing was delivered. I contacted the Walmart chat again. They reached back out to the seller again. They then responded with they needed 7 - 10 days to open a case with the delivery service. This was a Christmas gift, so clearly this doesn't work. I'm not sure why Walmart even messes with these third party sellers. This is a nightmare. I've spent several hundred dollars on something that never arrived. I can't comment on the quality of the headphones because I never received them. The company, 6Wave is awful though. I do not recommend making any purchases through them."
Tack23,5,Great sounding headphones,9/20/2023,"I purchased these headphones 1 month ago all I can say is there just awesome , I happen to own many different pairs and these buy far are the best ones I would recommend great sound the noise canceling is outstanding what I really like is the Sony App it really has some great features , don't pass this up you won't regret it !"
lefitasi,5,Gift for teen,12/5/2023,I bought this for my nephew who used it on the airplane ride back home and it made his flight more pleasant. His flight was 7 hours long and he barely heard a thing. My nephew says it is worth the money.
nati,5,Satisfied,1/4/2024,The off white Sony headphones are amazing. They truly surpass my expectations. The sound is incredible. It allows you to enjoy music at another level.
MomPushover,4,Hope he loves em!,11/26/2023,"My son asked for these for Christmas. Although WalMart had the best sale price, still hurt to pay that much for headphones. Shipped and delivered as scheduled, arrived safe and sound.."
Ranjan,5,Love it!,9/24/2023,"Very happy with the purchase. One if the best noise canceling headphones out there in the market in a reasonable price. The sound quality is unmatched, the comfort is unparalleled. Highly recommended."
Anon,5,Just what I was looking for.,3/25/2024,Nice round sound. Great seller I purchased them from.
AROD,5,10 out of 10 must recommend,3/15/2024,Love the headphones! They are packed with tech and can custom they way your music sound.
Anon,5,"",3/7/2024,"Shipped really quick, delivered really quick. The best headphone ever"
Soulja4Christ,5,Pretty advanced noise cancelation.,3/25/2024,"The only downside is the app functionality, it regularly needs to be reset as if just installed."
Hari,5,I can say good not excellent,9/24/2023,Feature should have optimized more as some times we can't hear opposite voice properly where you should connect back.. noise cancellation is 7.5/10
eZioAud,5,excellent quality,10/15/2023,prompt shipping and competitive pricing. the headphone itself is outstanding in its quality and noise cancelling ability.
PapawFitz,5,Great sound and noise cancelling,6/29/2023,Hard to describe how great the sound is. It wirelessly connects to my 7.1 Sony amp and Sony Bravia XR-65A95K TV. The noise cancelling feature is incredible also. Fitz
Dean,5,Satisfied with purchase.,12/3/2023,Works as advertised. Quick delivery.
Kat93,5,Quiet,10/5/2022,[This review was collected as part of a promotion.] These are by far the best noise canceling headphones by Sony! They fit comfortably and you can adjust the bass and treble. Your music will automatically pause if you take them off. Overall awesome sound quality! If you have the money these will not disappoint.
Justme45,5,WH-1000XM5 WIRELESS HEADPHONES ROCK,10/27/2022,"[This review was collected as part of a promotion.] I wear headphones everyday for my job , and for fun . I have been threw alot of headphones cheap to expensive, and by far I love these. They are noise canceling, easy to use, Bluetooth, and the best part is if you move them off your ear, it automatically pauses your stuff. So no more having to stop and pause manually which helps especially for my job. I'm love they come with a really nice case, easy-to-use, and carry anywhere. You will love these . The quality alone is so good. Just love them. They last forever before you charge them. The best I say for sure. Obsessed!!"
Z,1,Didn't receive the product,11/3/2023,Didn't receive the product and seller is not refunding
Slaysr,5,Noise cancellation is amazingly,10/18/2023,Researched multiple products and found Sony to out perform the rest.
hala,5,"Good quality, noise canceling",9/27/2023,"Good quality, as in the description"
Yamen,5,Best in the industry!!!,11/21/2023,Good quality as expected Love the product.
Cornel G,5,Best noise canceling on phone calls,8/13/2022,"There are a lot of noise canceling headsets on the market but even popular brands are not offering any support for phone calls. They are mostly focused on the person that wear the headsets not the person on the other end of the line. I would not be wrong if I tell you that they are making the things worse for the other person, by amplifying the background noise not the person's voice. WH-1000XM5 on the other hand are different and deserve 5 stars for that. I was able to have a normal conversation over the phone while walking outside in regular city traffic. I am not living in a big city like LA or NY but these headsets may perform well even there. My wife told me that I sound like I am in the office. The battery life is very good; I wear these for 3 weeks now listening on them 30 min every weekday and so far I didn't charge them at all. I like also the audio quality though so far I used these only for podcasts with limited music content. Now for the not so good part. When I turn the ANC on, I can feel the noise cancelling kicking in, but I can still hear helicopters, airplanes, noisy traffic or even wind. I do believe that a larger ear cup with more foam could help with this issue. I heard that the ear cups are smaller than on WH-1000XM4 and frankly I would prefer these to be a bit larger. Also the manual shows these as not being sweat proof and unfortunately after wearing these for a half an hour I do find sweat under the ear cups. When I turn my head left or right it will increase the noise that comes from the outside. Not sure if it's related to the headband being more rigid or to the frame of my sunglasses keeping the cups at a certain distance from the ear. The tactile control works good, is responsive, and provides feedback similar to the airpods, but I should read the manual to learn about all the features. Overall I am pleased with the purchase and I would recommend this product. PS: I didn't own the WH-1000XM4 but I listened to some audio samples in a review and WH-1000XM5 seems to do a better job on noise canceling than WH-1000XM4."
alfunzoA,4,"overall, great",7/5/2022,"the headset it's self is amazing. the sound is wonderful, they are very comfortable and they look amazing all while having the best Active Noise Canceling around. 4/5 because of the app. the interface is not comfortable and more customizable widgets would be greatly appreciated"
Honeymooner66,5,Outstanding ANC,10/11/2022,"I bought these last month for my honeymoon trip to Hawaii. The back and forth was about 15 hours of wear time. Wow the ANC is the best. Very light weight, so comfortable and I didn't have to take my earring out. I loved when I took off the headphones my movie downloaded on my Fire tablet stops, pauses and then restarts when you put them back on, seamless. And SO quiet, since I got home I have started using them to listen to books, very peaceful and I can't hear my husband asking me any dumb questions. The shape of the case is great I love the flatness, it fits in my carry-on so much better, fit's perfectly on my tablet when stowed. My old earphones that came in a big ball carry case was so awkward. Outstanding product."
Flix1999,4,Great features,6/28/2023,I bought this 2 months ago very impressed with the noise cancelling and phone call quality.
Radwa,5,Great features !!,10/13/2022,"[This review was collected as part of a promotion.] I am so happy with this sony headphones!! The sound quality is amazing, It's so soft. The material is so soft and the features is great. You can skip or pause by clicking with your finger. It is so comfortable and has great noise cancellation. The design is so neat and stylish it has a clean look. The best thing about it is the cup is big and it didn't hurt my ears. But the only thing concern about is the case holder is kinda big. Yet it is stylish and neat it has a magnet inside to hold your charger. Overall i am happy with it . And highly recommend it."
Emmanuelsdd,4,"Good sound, not able to keep clean",10/27/2022,I think the only thing I’m going to complain about is that you can’t touch these headphones with out getting them dirty. The only way is to wear gloves anytime you’re going to use them.
Carramrod,5,Sony headphone review,11/11/2022,"I got these as a gift. They are comfortable, lightweight and have a great sound quality. The ANC works great. The headphones app works great, it gives you good control.over the settings."
Sylvo91,5,Best headphone,10/15/2022,I bought them to edit film they are amazing and are the best purchased I ever made.
Gunnermike,5,Great headphone,10/4/2022,I bought this 3 weeks ago and enjoy them daily for at least an hour.
Medet,5,Best headphones,11/1/2022,"Amazing noise cancellation, amazing sound quality, really user friendly controls"
Al46,5,Superb headphones,6/29/2022,Tested product on numerous flights and noise cancelling did not disappoint
Janell86,5,Luxury at its finest,10/6/2022,[This review was collected as part of a promotion.] Absolutely beautiful and all around superb quality. The noise canceling is the top of the line . Cushion is the best . The light weight of these headphones are what I love the most . The feel of them everything is top of the line . Bass is impeccable and charging is fast and lasts so long . I'm beyond impressed with these and will definitely be staying with them and this brand .
Hari,4,Great audio,11/10/2023,The audio is great. If only it was sweat proof.
ABGregory58,5,Love it!,10/20/2022,"[This review was collected as part of a promotion.] My Grand Daughter is autistic and can't stand certain noises and these wireless noise cancelling headphones help her to be able to read and also focus on the work she needs to do at school, especially when she is doing tests. These are great quality and work great!"
OCsiren,5,Great Product,10/12/2022,[This review was collected as part of a promotion.] These Sony - WH-1000XM5 Wireless Noise Canceling Headphones work great. I love the design of them and how comfortable and lightweight they are. The sound is great and they do cancel out any other sounds. They charge quickly which is good. The case is also very nice.
Tory,5,Excellent headphones with great features,10/8/2022,"[This review was collected as part of a promotion.] It has really nice features, such as noise cancelation, chat mode, transparency mode, connects to multiple devices at once, it has really long battery life, 3 minutes of charging can get you 3 hours of battery life. Do the software update downloading the app. It's needed to improve quality sound when connecting to a smart Tv"
Cathy766,5,The best!,10/4/2022,[This review was collected as part of a promotion.] I can't say enough awesome things about these headphones! I have been looking for a really good pair of headphones for my workouts and these were just the ticket! They have VERY clear sound and work wonderfully; I just love them. The best brand I've ever tried.
Jpowell1627,5,Great headphones,10/10/2022,[This review was collected as part of a promotion.] I got these because I need new headphones and I could not be happier super easy to use they are made out of high-quality products and has great sound can hear all the highs and lows when using and they also have a great battery life super impressed I highly recommend
antv,5,Amazing headphones!,10/19/2022,"[This review was collected as part of a promotion.] These are an amazing pair of bluetooth headphones. When listening to music, the sound is rich and the bass is deep. They fit snugly over your head and not too tightly over the ears. The most outstanding feature I would say is the noise cancellation. For work I am often on conference calls. These headphones do a great job of getting rid of the ambient noise and focusing on just my voice. Definitely recommend!"
FireFlyJj,5,Wireless headphones,10/10/2022,[This review was collected as part of a promotion.] Let me tell you. The packaging was great with the little black case they came in. You cannot hear anything once you have them playing something. They are comfortable easy on ears
Kenziemarie10,5,Great product,10/10/2022,[This review was collected as part of a promotion.] The WH-1000XM5 Wireless Noise Canceling Headphones are great headphones! They work amazing
cmodeg,1,Broke in less than two months.,9/12/2022,The headphones were good while they worked. They broke in less than two months.
Dan12345,2,Had to return,8/17/2022,And the three model and that was really good until it broke. And then for my birthday I thought I'd get the five model since it was like the best in class. But using it to mow the yard it would noise cancel and then about 10 minutes later it would go back off again for about 10 or 15 minutes and then back on again. And when using it at home to black out kid noises or grandkid noises it never really seem to block out much that I could tell and so my Apple AirPod pros I'll just have to live with those.
Estefany,4,The coolest features,9/17/2022,"I bought these over a month ago and definitely have to say, they have the coolest features. Comparing to the AirPod Pro max headset … and the price of it —- to these Sony headphones- Sony wins , it's definitely worth it. Beats apples price , beats the basic apple features. However my head is pretty small and I wish it had more shorter adjustable features ; it's definitely better than the Beats Solo 3 pro with the head size adjustment, not slippery and is more sturdy . I'm not the biggest fan of the power button nor the case , but the headphones alone, perform really well and the battery life is also a very nice plus !"
Emmanuelsdd,4,"Good sound, not able to keep clean",10/27/2022,I think the only thing I'm going to complain about is that you can't touch these headphones with out getting them dirty. The only way is to wear gloves anytime you're going to use them.
Taylor13t,5,Great sounds,12/4/2022,Have it wireless to my phone to my TV so I can listen even to my game system on the headphones everything sounds so great can't hear anything going on around me on the outside .I love them.
Alex,5,Great buy!,11/20/2023,Great price and super fast delivery!
Chaithanya,4,Excellent noise cancellation,8/15/2023,These headphones have enabled me to do household tasks and be on calls without the other person complaining of the noises. Before this I often had to stop doing such tasks due to complaints of disturbances. The main reason for this being rated 4 and not 5 is because it is not comfortable to wear continuously for over 2 hours. I am able to wear my Sony WHCH700N for up to 5 hours comfortably and expected the same with these new ones too.
Brandon,2,Poor packing of item,9/19/2023,"My package arrived with the box broken or torn open. Headphones that cost hundreds of dollars were clearly visible. There was minimal packing materials inside to protect the product. It's hard to verify whether I even received a new item because of the condition of the shipment. It's a miracle I got to the package in my lobby before someone grabbed the headphones straight out of the box. Yes, packages get damaged in transit, but quality packing is a huge part of deterring that. It's also a choice to use FedEx. Just know that your stuff might not arrive correct. Might be safer to purchase from a different seller."
Knorris,5,Knorris,1/25/2024,"Well I'm going to buy the 77 inch Sony TV in March so I thought I would purchase these headphones because they will be able to match up and I can hear attach them or connect to the TV and able to adjust the sound in my headphones, so I have been using these to listen to music and the sound and quality is unbelievable. I am very happy with my purchase."
DJ_Rusty,5,Extreme Comfort and Fantastic Sound!,8/7/2023,I purchased this 2 weeks ago and it really has exceeded my expectations! The fit is so comfortable that I can wear these for hours without any discomfort. And the sound - I am hearing small details in my favorite songs that I never heard before! So amazing!
Anon,5,Excellent sound and microphone,11/14/2023,I currently own the Bose QC Ultra and recently purchased the 1000XM5. The sound is exceptional on both but where Sony beats Bose is on phone calls. The microphone on the Sony's 1000XM5 is far superior than the microphone on the Bose QC Ultra.
Arty801,5,Game Changer!,6/29/2023,"I upgraded from XM2 to XM5, what an improvement. Since the noise cancelation is so amazing, I actually like to hear music and audio books at a lower volume. I love doing yard work with it, especially during mowing my lawn or using my electric power tools. When on the phone, the other side doesn't know I am mowing my lawn."
TitaV,5,"G8 sound, noise cancelling & custom features",7/27/2023,"I've had mine for a couple of months now and I'm still finding my personal customizations. The sound is amazing as is the noise cancelling. Phone calls are clear and overall one of the best headphones I've purchased, and I've purchased plenty over 50 plus years!!"
Rocco P,1,"Great sound and battery, until it broke",1/29/2023,Headphones are extremely flimsy and one side snapped off in just 3 months.
